Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Аверченко,Віктор,Дмитрович,Чоловіча,21.10.2000,Няня,хутір Радехів,"сквер Заводська 5-та, буд. 342 кв. 32, Сторожинець, 23117",007 128-45-65,ustymartiukh@example.com
Черінько,Андрій,Сергійович,Чоловіча,12.02.1944,Продюсер,хутір Рівне,"набережна Штабний, буд. 31, Новогродівка, 94901",404-82-59,lukashheorhii@example.net
Рак,Василь,Васильович,Чоловіча,28.08.1974,Електромонтер,хутір Покровськ,"парк Церковна, буд. 4, Кропивницький, 96846",+380 (92) 751-73-70,marta99@example.net
Архипенко,Марія,Олександрівна,Жіноча,31.01.1957,М'ясник,село Українка,"сквер Бісквітний, буд. 115 кв. 22, Стрий, 97061",048 623 55 78,qorlyk@example.org
Данчук,Михайло,Михайлович,Чоловіча,13.11.1998,Музикант,селище Світловодськ,"провулок Петра Біциллі, буд. 964 кв. 37, Жданівка, 23338",097 798 14 90,pavlenkokyrylo@example.net
Колесниченко,Ірина,Олександрівна,Жіноча,17.09.2007,Композитор,село Рені,"узвіз Пастера, буд. 922 кв. 10, Хрустальний, 71121",142-01-69,erika11@example.org
Доценко,Віктор,Іванович,Чоловіча,13.10.1983,Географ,місто Рівне,"проспект Студентський 1-й, буд. 684 кв. 3, Одеса, 70820",041 502 79 26,panteleimon16@example.net
Усик,Юлія,Петрівна,Жіноча,30.11.1991,Мінералог,хутір Белз,"сквер Обривиста, буд. 2 кв. 130, Старий Самбір, 09120",+380 57 120-45-96,mzatula@example.com
Ляшко,Світлана,Дмитрівна,Жіноча,21.03.1945,Дерун,село Вишгород,"набережна Безіменний, буд. 15 кв. 346, Трускавець, 04931",+380 66 830 35 51,ustym08@example.org
Лубенець,Володимир,Михайлович,Чоловіча,20.11.1984,Бізнесмен,селище Новомиргород,"вулиця Богдана Хмельницького, буд. 02, Бахмач, 46427",+380 22 797-06-42,deinekasviatoslav@example.org
Носенко,Михайло,Іванович,Чоловіча,01.11.1948,Агроном,село Калинівка,"набережна Лінійна, буд. 8 кв. 57, Зміїв, 73393",204-45-14,hanna55@example.com
Стець,Володимир,Іванович,Чоловіча,29.11.1991,Етнограф,селище Залізне,"узвіз Друга, буд. 68 кв. 924, Узин, 06887",168 01 80,karasmaryna@example.org
Засуха,Світлана,Василівна,Жіноча,13.02.1964,Співак,місто Докучаєвськ,"набережна Лінія 44-та, буд. 4, Іловайськ, 05477",+380 (56) 950-22-58,rostyslav94@example.net
Луценко,Андрій,Сергійович,Чоловіча,11.05.2003,Кінокритик,місто Решетилівка,"провулок Балтський 8-й, буд. 9, Алчевськ, 52804",+380 36 314-73-41,danna23@example.org
Стельмах,Володимир,Дмитрович,Чоловіча,23.10.1975,Бібліограф,хутір Ямпіль,"сквер Зернова, буд. 78, Глухів, 89126",026 479 66 35,valerii12@example.net
Петрик,Дмитро,Дмитрович,Чоловіча,08.11.1999,Епідеміолог,селище Бахмут,"узвіз Ланжерон, буд. 32 кв. 311, Новомиргород, 39524",275 98 26,zakharenkovalentyna@example.net
Власюк,Наталія,Іванівна,Жіноча,05.01.1970,Мірошник,селище Заліщики,"сквер Олексіївська, буд. 8 кв. 729, Белз, 03209",054 565-76-57,liashkoanita@example.org
Бакуменко,Юлія,Олександрівна,Жіноча,28.10.1981,Провізор,село Апостолове,"набережна Лінія 48-ма, буд. 2, Гайсин, 63615",+380 27 928-77-06,okhrimandriichuk@example.org
Давиденко,Петро,Іванович,Чоловіча,12.08.1983,Астрофізик,село Луцьк,"вулиця Спортивний, буд. 3 кв. 9, Славута, 32745",+380 (48) 074-61-56,nestorieroshenko@example.org
Каденюк,Наталія,Дмитрівна,Жіноча,29.08.1997,Співак,місто Тараща,"узвіз Килимова, буд. 916, Радомишль, 79416",+380 (20) 256-57-83,nosachenkovalentyna@example.org
Вахній,Дмитро,Петрович,Чоловіча,29.05.1970,Публіцист,село Слов'янськ,"парк Пересипська 4-та, буд. 6 кв. 296, Іршава, 99444",390-35-86,nestor47@example.com
Вітрук,Світлана,Іванівна,Жіноча,02.01.1991,М'ясник,місто Алупка,"сквер Лазурний 2-й, буд. 0 кв. 9, Буча, 88840",059 198-87-61,bakumenkovasylyna@example.com
Кармалюк,Володимир,Андрійович,Чоловіча,27.01.1991,Державний службовець,хутір Бурштин,"площа Аптекарський, буд. 08, Острог, 03276",930 17 58,ivanmakohon@example.org
Черінько,Михайло,Михайлович,Чоловіча,21.03.1938,Етнограф,хутір Арциз,"шосе Бузковий, буд. 6 кв. 6, Самбір, 69377",146-78-29,liliialahoda@example.net
Рубан,Петро,Михайлович,Чоловіча,17.11.1979,Петрограф,селище Коростишів,"узвіз Магістральна, буд. 542, Верхньодніпровськ, 46030",+380 05 617-64-74,poltavetsboleslav@example.com
Дацюк,Катерина,Олександрівна,Жіноча,25.01.1974,Кінокритик,місто Бахчисарай,"площа Скляний 3-й, буд. 457, Хирів, 21345",+380 22 814-37-57,arsen18@example.net
Батіг,Тетяна,Михайлівна,Жіноча,29.08.1994,Фізик,селище Роздільна,"сквер Лютневий 1-й, буд. 343, Новоселиця, 89866",+380 51 921 98 96,arsen61@example.org
Петлюра,Михайло,Іванович,Чоловіча,22.02.1943,Археолог,місто Ямпіль,"вулиця Пастера, буд. 778, Пустомити, 51031",+380 (36) 494-39-22,stepan38@example.net
Андрійчук,Петро,Михайлович,Чоловіча,08.07.1953,Паралегал,місто Біла Церква,"площа Жаботинського, буд. 544, Новоселиця, 74682",032 415-22-36,ahavryliv@example.org
Тичина,Наталія,Дмитрівна,Жіноча,14.04.1982,Головний меркшейдер,місто Новгород-Сіверський,"вулиця Яблунева, буд. 4 кв. 606, Почаїв, 89806",294 70 51,lvashchuk@example.org
Хомик,Оксана,Сергіївна,Жіноча,04.06.1975,Економіст,село Тисмениця,"вулиця Дюківська, буд. 3 кв. 4, Бібрка, 48085",013 111-94-24,onysymovsiienko@example.com
Гоголь-Яновський,Тетяна,Василівна,Жіноча,07.01.1956,Бухгалтер,місто Привілля,"шосе Монастирський, буд. 8, Ніжин, 65881",431 71 10,vfurs@example.org
Арсенич,Андрій,Васильович,Чоловіча,30.07.2003,Клавішник,хутір Радехів,"сквер Заводська 4-та, буд. 95, Барвінкове, 01086",+380 50 697-58-95,stanislavdashenko@example.org
Ющенко,Дмитро,Михайлович,Чоловіча,01.10.1956,Модельєр,місто Зоринськ,"площа Сумський, буд. 480 кв. 9, Сніжне, 35481",160 07 06,danna92@example.org
Харченко,Катерина,Петрівна,Жіноча,16.11.1978,Музикант,місто Новоазовськ,"провулок Баштанна, буд. 5, Амвросіївка, 40915",019 284-51-45,larysahavryshkevych@example.net
Аврамчук,Наталія,Іванівна,Жіноча,07.11.1986,Реабілітолог,селище Пирятин,"набережна Світла, буд. 34 кв. 42, Армянськ, 17640",+380 00 584-56-34,ovdovychenko@example.com
Бараник,Марія,Андріївна,Жіноча,31.10.1962,Підприємець,село Деражня,"шосе Виноградна 2-га, буд. 7 кв. 2, Гірське, 47530",059 747-29-64,xdrobakha@example.net
Мазепа,Олександр,Сергійович,Чоловіча,28.10.1980,Клоун,місто Глухів,"набережна Хлібна гавань, буд. 2, Угнів, 89507",+380 (83) 224-63-72,semen23@example.org
Швачко,Василь,Іванович,Чоловіча,22.05.2003,Паралегал,місто Глобине,"проспект Яна Длугоша, буд. 169, Хирів, 47125",029 792-01-06,tdrobiazko@example.net
Ґереґа,Юлія,Василівна,Жіноча,17.02.1951,Медик,місто Жидачів,"сквер Обривиста, буд. 823, Перевальськ, 99556",+380 69 988-27-08,ykovpak@example.com
Аверченко,Олександр,Андрійович,Чоловіча,02.05.1950,Науковець,місто Кипуче,"набережна Рівності 1-й, буд. 6, Волочиськ, 34577",016 784 59 75,khomykeduard@example.org
Оберемко,Юлія,Дмитрівна,Жіноча,14.06.1944,Мікробіолог,село Підгайці,"проспект Спортивна, буд. 436 кв. 802, Кам'янське, 71858",261 21 77,borys30@example.org
Семенченко,Юлія,Олександрівна,Жіноча,11.01.1997,Археолог,село Шпола,"проспект Ширяївський, буд. 58 кв. 54, Хуст, 54440",+380 96 043-12-02,bohdannazabila@example.net
Даньків,Марія,Петрівна,Жіноча,07.06.1973,Футболіст,село Моршин,"площа Хутірський, буд. 8, Яготин, 88169",067 769-94-90,vasyl68@example.net
Ященко,Михайло,Васильович,Чоловіча,01.08.1956,Головний меркшейдер,хутір Черкаси,"сквер Бориса Літвака, буд. 16 кв. 27, Лебедин, 23177",+380 05 287-22-33,teodoriarema@example.com
Лесик,Михайло,Васильович,Чоловіча,28.03.1990,Етнограф,місто Болград,"провулок Моторний 3-й, буд. 927 кв. 3, Переяслав, 11222",+380 12 775-83-44,vnalyvaiko@example.com
Ткач,Володимир,Михайлович,Чоловіча,04.11.2001,Агроном,селище Рахів,"парк Лінія 32-га, буд. 7 кв. 033, Кальміуське, 21042",027 814-62-49,valeriiverkhovynets@example.net
Вобла,Михайло,Андрійович,Чоловіча,21.11.1976,Кінокритик,хутір Шаргород,"набережна Віталія Блажка, буд. 4 кв. 889, Тульчин, 25712",+380 85 405-64-23,haidamakamaksym@example.org
Атаманчук,Ірина,Дмитрівна,Жіноча,27.11.2007,Мікробіолог,хутір Снігурівка,"узвіз Олексія Косяченко, буд. 8, Рахів, 88222",083 206 65 55,iieshchenko@example.net
Байда,Володимир,Сергійович,Чоловіча,20.06.1986,Доцент,хутір Сновськ,"шосе Байдарочний, буд. 376 кв. 5, Деражня, 08312",762 02 97,bohdanriabchenko@example.net
Ващук,Олена,Петрівна,Жіноча,09.08.1941,Архітектор,хутір Заставна,"парк Танкерна, буд. 8 кв. 57, Родинське, 82465",+380 30 012-58-33,orkhyp10@example.com
Полтавець,Володимир,Михайлович,Чоловіча,13.05.1998,Бухгалтер,місто Буча,"шосе Сергія Ядова, буд. 3 кв. 766, Благовіщенське, 34354",005-32-03,batihvarvara@example.org
Алексійчук,Сергій,Дмитрович,Чоловіча,20.12.1981,Пілот,місто Селидове,"набережна Академіка Липського, буд. 1 кв. 0, Городня, 51592",037 683 38 31,anitasymonenko@example.com
Малишко,Володимир,Васильович,Чоловіча,21.02.1982,Конструктор,село Боярка,"проспект Могилівська, буд. 05, Нетішин, 66790",+380 (87) 370-77-59,symononufriienko@example.org
Христич,Юлія,Олександрівна,Жіноча,06.05.1938,Музичний редактор,селище Чортків,"сквер Ялинкова, буд. 37 кв. 1, Південне, 07708",059 624 29 65,bohuslavachumak@example.com
Приходько,Тетяна,Сергіївна,Жіноча,15.09.2003,Живописець,село Тульчин,"провулок Пересипська 4-та, буд. 3, Кремінна, 19613",018 650 20 46,siurchuk@example.net
Єсипенко,Сергій,Сергійович,Чоловіча,04.05.1998,Ді-джей,місто Судак,"площа Капітана Гаврікова, буд. 68, Приморськ, 91769",018 947 55 18,priska15@example.org
Гайденко,Анна,Сергіївна,Жіноча,09.09.2007,Палеонтолог,хутір Харків,"проспект Сливовий, буд. 86, Чортків, 02835",092 99 15,mbabiak@example.org
Ґереґа,Олена,Олександрівна,Жіноча,14.07.2004,Стропальник,селище Городня,"узвіз Лінія 42-га, буд. 8 кв. 1, Новоукраїнка, 87144",+380 26 280-98-76,viacheslavshtokalo@example.org
Дутка,Андрій,Андрійович,Чоловіча,22.10.1944,Стропальник,селище Пустомити,"площа Моторна, буд. 2, Мелітополь, 60945",019 477-14-30,martym@example.com
Бабійчук,Марія,Михайлівна,Жіноча,20.01.1950,Ветеринар,село Краматорськ,"шосе Айвазовського, буд. 5, Сокологірськ, 54328",051 852-65-28,hannasirchenko@example.org
Рева,Катерина,Сергіївна,Жіноча,01.05.1967,Диригент,село Одеса,"провулок Вапняний 2-й, буд. 1, Новий Розділ, 75421",+380 95 939-57-69,markochernenko@example.com
Верес,Світлана,Дмитрівна,Жіноча,27.05.2003,Публіцист,селище Южне,"провулок Лазурний 4-й, буд. 2 кв. 0, Тетіїв, 17669",+380 28 993-76-77,viacheslavierchenko@example.net
Верменич,Петро,Михайлович,Чоловіча,24.08.1941,Гірничий інженер,селище Белз,"площа Соляний 2-й, буд. 280, Носівка, 68582",022 647 57 46,kyrylodarahan@example.org
Ємельяненко,Петро,Дмитрович,Чоловіча,26.09.1956,Професор,хутір Радомишль,"сквер Польова, буд. 697, Святогірськ, 76268",+380 73 882 79 60,ychervonenko@example.org
Єременко,Анна,Андріївна,Жіноча,28.12.1958,Математик,хутір Вовчанськ,"парк Лобачевського, буд. 5 кв. 1, Дніпро, 46466",003 572-10-77,demianavdieienko@example.org
Єфименко,Анна,Петрівна,Жіноча,09.12.1971,Прокурор,хутір Чуднів,"вулиця Аеропортівська, буд. 67 кв. 0, Зоринськ, 06416",719-74-99,olenamykhailiuk@example.net
Вернигора,Володимир,Петрович,Чоловіча,06.09.2003,Педагог,місто Кременчук,"узвіз Грузинська, буд. 976 кв. 3, Сновськ, 49365",085 593-40-02,nshakhrai@example.com
Влох,Дмитро,Андрійович,Чоловіча,18.12.2004,Слідчий,місто Вугледар,"набережна Яблунева, буд. 93, Тростянець, 74798",+380 17 751-88-98,emiliiapavlenko@example.net
Гавришкевич,Олександр,Дмитрович,Чоловіча,26.12.2001,М'ясник,село Бучач,"шосе Люстдорфська дорога, буд. 594, Чорноморськ, 66979",+380 79 368 20 97,erika38@example.com
Шведченко,Олександр,Васильович,Чоловіча,04.08.1991,Хімік,село Люботин,"площа Астрономічний, буд. 14 кв. 18, Ізюм, 27065",+380 50 698-52-04,masliakmykhailo@example.org
Колесниченко,Петро,Андрійович,Чоловіча,11.10.1991,Секретар,хутір Галич,"шосе Острозька, буд. 5 кв. 669, Рені, 17041",+380 39 230-05-54,miroshnychenkooleksa@example.org
Гресь,Олександр,Андрійович,Чоловіча,06.07.1985,Клоун,селище Кагарлик,"вулиця Артилерійський 2-й, буд. 5, Гірник, 65520",+380 56 850-54-74,irynakovpak@example.org
Акименко,Катерина,Андріївна,Жіноча,17.11.2008,Ді-джей,селище Тростянець,"проспект Східчастий, буд. 560, Єнакієве, 56959",930 52 02,iustym76@example.org
Шило,Юлія,Василівна,Жіноча,15.09.1983,Вчитель,хутір Хирів,"проспект Севастопольський, буд. 171 кв. 7, Оріхів, 03911",888-36-61,alinapushkar@example.com
Єресько,Марія,Сергіївна,Жіноча,26.03.1953,Гінеколог,селище Верхньодніпровськ,"парк Слобідська, буд. 8, Бучач, 99636",145-07-10,solomonhabelko@example.com
Бгиденко,Володимир,Олександрович,Чоловіча,10.08.1965,Маркетолог,селище Моспине,"проспект Батуринська, буд. 2 кв. 77, Берислав, 67444",+380 59 333-71-64,iefremshcherbak@example.com
Іщак,Сергій,Андрійович,Чоловіча,20.02.1966,Випробувач,хутір Погребище,"шосе Станційна 2-га, буд. 33 кв. 3, Богуслав, 32951",+380 (07) 266-34-65,ieshchenkoborys@example.com
Нестайко,Юлія,Сергіївна,Жіноча,27.06.1997,Зоолог,село Тиврів,"парк Чорноморська, буд. 5 кв. 10, Липовець, 83191",082-21-57,valeriitymchenko@example.org
Хмара,Оксана,Олександрівна,Жіноча,21.01.1981,Електрик,село Городенка,"узвіз Ботанічний, буд. 395, Мерефа, 83980",+380 78 920-50-47,trokhympustovit@example.net
Штокало,Іван,Михайлович,Чоловіча,23.12.1959,Детектив,село Новгород-Сіверський,"парк Моторний 2-й, буд. 647, Корсунь-Шевченківський, 87774",+380 (73) 807-29-17,viacheslav08@example.org
Удовиченко,Анна,Михайлівна,Жіноча,27.02.1956,Актор,селище Здолбунів,"шосе Аграрна, буд. 325 кв. 62, Покров, 14233",+380 26 827 04 54,qandriishyn@example.com
Тарасенко,Віктор,Петрович,Чоловіча,27.08.1986,Правник,село Семенівка,"проспект Краснова, буд. 53, Охтирка, 85164",+380 32 892 05 06,alina12@example.com
Конопленко,Олена,Олександрівна,Жіноча,07.03.1938,Акушер,селище Світлодарськ,"набережна Карпенка-Карого, буд. 4 кв. 81, Білицьке, 12428",+380 97 410-96-64,mduplii@example.org
Павличенко,Ірина,Петрівна,Жіноча,10.12.1948,Медик,місто Сніжне,"парк Вишневий, буд. 11, Чернівці, 81371",+380 08 605 76 36,mparasiuk@example.net
Дейсун,Василь,Сергійович,Чоловіча,06.05.1944,Композитор,хутір Новоселиця,"сквер Стражеска Миколи, буд. 9 кв. 81, Герца, 62184",407-55-25,iustynahavryliv@example.com
Рябошапка,Катерина,Олександрівна,Жіноча,09.06.1964,Стиліст,селище Алупка,"сквер Мечникова, буд. 6 кв. 9, Глухів, 71577",+380 (11) 896-97-49,nestaikoiakiv@example.com
Оберемко,Наталія,Василівна,Жіноча,01.10.1959,Складальник,селище Глобине,"площа Лузанівський, буд. 2, Синельникове, 25692",+380 (16) 710-19-89,nadiiababiichuk@example.org
Лаба,Василь,Михайлович,Чоловіча,31.08.1963,Економіст,місто Новоград-Волинський,"вулиця Аеропортівський 5-й, буд. 4 кв. 2, Костопіль, 31190",+380 67 069 51 04,panteleimon35@example.org
Ющенко,Віктор,Михайлович,Чоловіча,13.06.2007,Композитор,хутір Нова Одеса,"шосе Нечипуренка, буд. 64, Феодосія, 29441",732-74-52,zkolisnychenko@example.org
Яценюк,Василь,Михайлович,Чоловіча,06.06.1979,Няня,село Берестин,"сквер Картамишевська, буд. 05 кв. 76, Чернігів, 32775",570 03 69,kyryloorobets@example.net
Лупій,Сергій,Петрович,Чоловіча,17.06.1995,Фармацевт,селище Ровеньки,"провулок Лиманчик 2-й Лінія 3-тя, буд. 279, Ланівці, 34632",+380 (34) 402-09-89,ikorbut@example.com
Данько,Володимир,Сергійович,Чоловіча,14.08.1939,Конструктор,місто Благовіщенське,"провулок 1-ша Лінія Марії Демченко, буд. 573, Вознесенівка, 49345",404 29 89,sofiiavertyporokh@example.org
Удовиченко,Дмитро,Андрійович,Чоловіча,11.01.1938,Реставратор,місто Перещепине,"вулиця Поперечний, буд. 26, Житомир, 28644",098 827 38 03,uhaievskyi@example.com
Шамрай,Дмитро,Андрійович,Чоловіча,15.07.1959,Електрик,місто Новодністровськ,"набережна Італійський, буд. 6, Білгород-Дністровський, 07128",+380 41 122-57-35,danna42@example.net
Уманець,Михайло,Васильович,Чоловіча,09.09.1967,Психолог,хутір Березань,"парк Суперфосфатна, буд. 94, Стебник, 62898",556-87-03,fedirzabara@example.net
Дейсун,Сергій,Михайлович,Чоловіча,15.06.1956,Мовознавець,селище Жидачів,"вулиця Грецька, буд. 56, Яготин, 38740",+380 (62) 773-67-93,somkomariia@example.com
Гайдамака,Віктор,Михайлович,Чоловіча,07.04.1960,Паблік рилейшнз,селище Кам'янка (Черкаська область),"сквер Отамана Головатого, буд. 429 кв. 86, Кам'янка (Черкаська область), 24531",+380 20 303 29 06,ostapchukandrii@example.com
Гунько,Іван,Дмитрович,Чоловіча,09.09.1977,Мистецтвознавець,місто Любомль,"набережна Жоліо-Кюрі, буд. 2 кв. 916, Славутич, 48857",+380 97 670-02-79,teodor23@example.com
Ватаманюк,Юлія,Дмитрівна,Жіноча,28.12.1957,Бібліограф,місто Чистякове,"узвіз Танкерна, буд. 068, Яготин, 52768",+380 01 692-96-38,nalyvaikosviatoslav@example.com
Зарудна,Анна,Петрівна,Жіноча,06.10.1990,Соціолог,хутір Гайворон,"парк 411-ї батареї, буд. 93, Дергачі, 12001",713-84-76,kirvanets@example.org
Свистун,Марія,Сергіївна,Жіноча,04.11.1997,Драматург,селище Зіньків,"провулок Житомирська, буд. 28 кв. 9, Євпаторія, 32222",+380 (14) 428-07-54,gruban@example.net
Кармалюк,Андрій,Олександрович,Чоловіча,13.03.1950,Мистецтвознавець,село Помічна,"шосе Прилуцький, буд. 83 кв. 122, Хуст, 03408",+380 (39) 287-12-02,oolifirenko@example.net
Ященко,Катерина,Олександрівна,Жіноча,16.07.1969,Літературознавець,селище Ніжин,"парк Амундсена, 1-й, буд. 94, Керч, 41265",076 794 40 87,moskalvasyl@example.org
Євтушенко,Андрій,Васильович,Чоловіча,17.03.1981,Геофізик,селище Новий Розділ,"площа Приморський, буд. 80 кв. 5, Бобринець, 47813",767-58-64,vdovychenkoamvrosii@example.org
Чередник,Василь,Андрійович,Чоловіча,10.05.1948,Каскадер,село Лубни,"сквер Сабанський, буд. 69, Підгородне, 32368",+380 (16) 991-20-62,myron72@example.net
Архимович,Тетяна,Андріївна,Жіноча,26.03.2007,Психолог,хутір Мирноград,"проспект Курортний 6-й, буд. 29, Лозова, 13347",902-09-42,kkadeniuk@example.net
